Date,Open,High,Low,Close,Volume,MOM,Decis_macd,Decis_ema,Decis_cci,Decis_roc,Decis_wpr,Decis_atr
2015-04-24,536.0,542.0,534.0,540.0,1720800.0,16.0,1,1,0,0,1,12
2015-04-27,544.0,548.0,540.0,548.0,1437500.0,32.0,1,1,0,2,1,11
2015-04-28,546.0,550.0,538.0,548.0,1611200.0,36.0,1,1,0,0,1,11
2015-04-29,540.0,546.0,530.0,536.0,2061300.0,14.0,1,1,0,0,0,12
2015-04-30,534.0,542.0,530.0,538.0,1450700.0,8.0,1,1,0,0,0,12
2015-05-04,538.0,538.0,538.0,538.0,0.0,14.0,1,1,0,0,0,11
2015-05-06,536.0,542.0,532.0,542.0,1062900.0,18.0,1,1,0,0,0,11
2015-05-07,540.0,544.0,538.0,540.0,907100.0,4.0,1,1,0,0,0,11
2015-05-08,540.0,554.0,540.0,548.0,1406800.0,20.0,1,1,0,0,1,11
2015-05-11,550.0,550.0,538.0,538.0,1172700.0,4.0,1,1,0,0,0,11
2015-05-12,538.0,538.0,526.0,526.0,1920500.0,-14.0,2,1,0,0,2,11
2015-05-13,530.0,536.0,526.0,534.0,1371000.0,-14.0,2,1,1,0,0,11
2015-05-14,532.0,534.0,518.0,522.0,1896200.0,-26.0,2,1,0,0,2,12
2015-05-15,522.0,530.0,520.0,528.0,1105200.0,-8.0,2,1,0,0,0,12
2015-05-18,528.0,528.0,522.0,528.0,779800.0,-10.0,2,1,1,0,0,11
2015-05-19,528.0,538.0,526.0,536.0,1804800.0,-2.0,2,1,0,0,0,11
2015-05-20,536.0,544.0,536.0,544.0,1268000.0,2.0,2,1,0,0,0,11
2015-05-21,546.0,550.0,546.0,548.0,1054400.0,8.0,1,1,0,0,1,11
2015-05-22,548.0,550.0,544.0,544.0,599500.0,-4.0,1,1,2,0,0,10
2015-05-25,544.0,546.0,536.0,536.0,608300.0,-2.0,1,1,0,0,0,10
2015-05-26,536.0,540.0,532.0,536.0,700000.0,10.0,2,1,0,0,0,10
2015-05-27,534.0,538.0,528.0,536.0,1154700.0,2.0,2,1,0,0,0,10
2015-05-28,534.0,538.0,530.0,534.0,1074200.0,12.0,2,1,0,0,0,10
2015-05-29,534.0,536.0,526.0,528.0,1818800.0,0.0,2,1,0,0,0,10
2015-06-02,524.0,526.0,518.0,518.0,1560300.0,-10.0,2,1,0,0,2,10
2015-06-03,518.0,524.0,518.0,520.0,1566400.0,-16.0,2,1,1,0,2,10
2015-06-04,520.0,522.0,516.0,520.0,1160400.0,-24.0,2,1,1,0,2,10
2015-06-05,520.0,534.0,518.0,532.0,1776700.0,-16.0,2,1,0,0,0,10
2015-06-08,534.0,534.0,526.0,532.0,940300.0,-12.0,2,1,0,0,0,10
2015-06-09,528.0,530.0,522.0,522.0,1366900.0,-14.0,2,1,0,0,2,10
2015-06-10,522.0,528.0,522.0,522.0,1226900.0,-14.0,2,2,0,0,2,10
2015-06-11,526.0,528.0,522.0,522.0,1842200.0,-14.0,2,2,0,0,2,10
2015-06-12,522.0,524.0,518.0,518.0,1377400.0,-16.0,2,2,1,0,2,9
2015-06-15,518.0,518.0,514.0,514.0,875200.0,-14.0,2,2,0,0,2,9
2015-06-16,514.0,524.0,514.0,520.0,1344500.0,2.0,2,2,0,0,0,9
2015-06-17,520.0,528.0,518.0,526.0,1843600.0,6.0,2,2,0,0,0,9
2015-06-18,526.0,528.0,524.0,526.0,1074800.0,6.0,2,2,0,0,0,9
2015-06-19,528.0,528.0,518.0,520.0,1224200.0,-12.0,2,2,0,0,0,9
2015-06-22,520.0,526.0,520.0,522.0,682100.0,-10.0,2,2,0,0,0,9
2015-06-23,524.0,526.0,520.0,520.0,508300.0,-2.0,2,2,0,0,0,9
2015-06-24,524.0,526.0,522.0,524.0,1225300.0,2.0,1,2,0,0,0,9
2015-06-25,522.0,526.0,520.0,522.0,1794000.0,0.0,1,2,0,0,0,8
2015-06-26,524.0,524.0,520.0,522.0,692500.0,4.0,1,2,0,0,0,8
2015-06-29,520.0,522.0,516.0,518.0,1452500.0,4.0,1,2,1,0,0,8
2015-06-30,518.0,520.0,510.0,520.0,2178200.0,0.0,1,2,0,0,0,8
2015-07-02,522.0,526.0,518.0,522.0,1030400.0,-4.0,1,2,0,0,0,8
2015-07-03,524.0,526.0,520.0,520.0,641800.0,-6.0,1,2,0,0,0,8
2015-07-06,518.0,520.0,516.0,516.0,567200.0,-4.0,2,2,0,0,0,8
2015-07-07,518.0,520.0,514.0,516.0,808000.0,-6.0,2,2,0,0,0,8
2015-07-08,516.0,516.0,506.0,508.0,1967200.0,-12.0,2,2,0,0,2,8
2015-07-09,508.0,514.0,506.0,510.0,1199100.0,-14.0,2,2,0,0,2,8
